WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,ConvDF,Lat,Long,WEEK,MONTH,YEAR
03/14-21-070-23W4/0,DELTASTREAM CANAL 14-21-70-23,498997,A2CL,Komat Drilling Ltd.,3,19 Jan 2021 06:00:00 AM,St. Albert,A6YA,Deltastream Energy Corporation,,Set Surface,2021-01-19,21070234,21070234,55.07485125,-113.4378554,3,1,2021.0
00/15-03-075-25W4/0,DELTASTREAM MARTENH 15-3-75-25,498496,A0KC,Horizon Drilling Inc.,14,18 Jan 2021 06:30:00 PM,St. Albert,A6YA,Deltastream Energy Corporation,,Resumption,2021-01-19,3075254,3075254,55.46818561,-113.7838947,3,1,2021.0
12/02-16-076-06W4/0,CVE G05P08 LEISMER 2-16-76-6,499058,0Z41,Ensign Drilling Inc.,141,18 Jan 2021 06:45:00 PM,Bonnyville,A5D4,Cenovus Energy Inc.,,Set Surface,2021-01-19,16076064,16076064,55.58456271,-110.8597761,3,1,2021.0
AC/01-24-076-06W4/0,CVE C16-13 B1 HARDY 1-24-76-6,498403,0Y52,Precision Drilling Corporation,254,19 Jan 2021 05:20:00 AM,Bonnyville,A5D4,Cenovus Energy Inc.,,Drill To LD,2021-01-19,24076064,24076064,55.59898063,-110.7821385,3,1,2021.0
05/04-30-077-05W4/0,MEG AH18P HARDY 4-30-77-5,498957,0Y55,Akita Drilling Ltd.,27,19 Jan 2021 10:45:00 AM,Bonnyville,0Z9C,MEG Energy Corp.,,Drill To LD,2021-01-19,30077054,30077054,55.70088882,-110.7562562,3,1,2021.0
AB/09-23-093-10W4/0,SYNCRUDE 065N01 9-23-93-10,497176,0Y80,Boart Longyear Canada,41,19 Jan 2021 02:30:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-19,23093104,23093104,57.08259286,-111.4814072,3,1,2021.0
AB/02-25-093-10W4/0,SYNCRUDE 059N01 2-25-93-10,497170,0Y80,Boart Longyear Canada,47,19 Jan 2021 06:30:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-19,25093104,25093104,57.0972359,-111.4545294,3,1,2021.0
00/09-10-049-25W4/0,NEP HZ LEDUC-WB 9-10-49-25,499141,0Z41,Ensign Drilling Inc.,32,23 Jan 2021 10:45:00 PM,St. Albert,A637,NEP Canada ULC,,Drill To LD,2021-01-24,10049254,10049254,53.21416492,-113.561782,3,1,2021.0
00/13-02-051-13W5/0,VEI HZ PEMBINA 13-2-51-13,498921,A2EN,Ironhand Drilling Inc.,9,23 Jan 2021 06:45:00 PM,Drayton Valley,A6FW,Vermilion Energy Inc.,,Drill To LD,2021-01-24,2051135,2051135,53.37394802,-115.795091,3,1,2021.0
00/02-22-055-22W5/0,PEYTO SUNDANCE 2-22-55-22,499169,0Z41,Ensign Drilling Inc.,438,24 Jan 2021 07:29:00 AM,Drayton Valley,0YA2,Peyto Exploration & Development Corp.,,Drill To LD,2021-01-24,22055225,22055225,53.76654651,-117.1725761,3,1,2021.0
00/04-01-056-21W5/0,PEYTO SUNDANCE 4-1-56-21,498802,0Z41,Ensign Drilling Inc.,432,24 Jan 2021 04:43:00 AM,Drayton Valley,0YA2,Peyto Exploration & Development Corp.,,Drill To LD,2021-01-24,1056215,1056215,53.81022579,-116.9744708,3,1,2021.0
04/04-01-072-09W6/0,OVV HZ 104 WEMBLEY 4-1-72-9,498689,0Y52,Precision Drilling Corporation,534,24 Jan 2021 03:15:00 PM,Grande Prairie,0026,Ovintiv Canada ULC,,Drill To LD,2021-01-24,1072096,1072096,55.20698006,-119.2310002,3,1,2021.0
00/08-35-074-25W4/0,HWX MARTENH 8-35-74-25,497524,A2CL,Komat Drilling Ltd.,3,23 Jan 2021 07:00:00 PM,St. Albert,A8DL,Headwater Exploration Inc.,,Set Surface,2021-01-24,35074254,35074254,55.45357068,-113.7246583,3,1,2021.0
03/12-25-076-07W5/0,TAC 13-26 HZ 102 NIPISI 12-25-76-7,499149,0Y52,Precision Drilling Corporation,185,24 Jan 2021 10:30:00 AM,St. Albert,A5TT,Tamarack Acquisition Corp.,,Drill To LD,2021-01-24,25076075,25076075,55.61399787,-114.9328795,3,1,2021.0
AC/14-29-093-09W4/0,SYNCRUDE 39N01 14-29-93-9,497107,A1YG,Big Country Drilling Ltd.,10,24 Jan 2021 03:30:00 PM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-24,29093094,29093094,57.09722471,-111.4008968,3,1,2021.0
AA/15-14-093-10W4/0,SYNCRUDE 074N01 15-14-93-10,497062,0Y80,Boart Longyear Canada,41,24 Jan 2021 12:30:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-24,14093104,14093104,57.06813866,-111.4813998,3,1,2021.0
02/10-12-043-12W5/0,TQN BRAZR 10-12-43-12,498842,0Y52,Precision Drilling Corporation,225,02 Jan 2021 08:30:00 AM,Drayton Valley,A2TG,TAQA North Ltd.,,Resumption,2021-01-02,12043125,12043125,52.69058379,-115.5973749,53,1,2021.0
02/03-15-061-04W6/0,TOURMALINE HZ KAKWA 3-15-61-4,499015,0Y52,Precision Drilling Corporation,531,01 Jan 2021 09:15:00 PM,Grande Prairie,A573,Tourmaline Oil Corp.,,Drill To LD,2021-01-02,15061046,15061046,54.27599194,-118.500119,53,1,2021.0
00/05-25-076-07W5/0,TAC 13-26 HZ NIPISI 5-25-76-7,499148,A2CL,Komat Drilling Ltd.,3,02 Jan 2021 06:00:00 AM,St. Albert,A5TT,Tamarack Acquisition Corp.,,Set Surface,2021-01-02,25076075,25076075,55.61399787,-114.9328795,53,1,2021.0
03/12-25-076-07W5/0,TAC 13-26 HZ 102 NIPISI 12-25-76-7,499149,A2CL,Komat Drilling Ltd.,3,02 Jan 2021 05:00:00 PM,St. Albert,A5TT,Tamarack Acquisition Corp.,,Set Surface,2021-01-02,25076075,25076075,55.61399787,-114.9328795,53,1,2021.0
02/16-34-076-07W5/0,TAC 13-26 HZ 102 NIPISI 16-34-76-7,499151,A2CL,Komat Drilling Ltd.,3,01 Jan 2021 07:30:00 PM,St. Albert,A5TT,Tamarack Acquisition Corp.,,Set Surface,2021-01-02,34076075,34076075,55.62844226,-114.984653,53,1,2021.0
02/14-13-079-12W6/0,BIR 5-7 HZ 102 PCOUPES 14-13-79-12,498992,0X84,Nabors Drilling Limited,77,02 Jan 2021 07:42:00 AM,Grande Prairie,A12R,Birchcliff Energy Ltd.,,Drill To LD,2021-01-02,13079126,13079126,55.84708672,-119.7231728,53,1,2021.0
02/15-18-034-09W4/0,TAC 16-24 HZ 102 PROVOST 15-18-34-9,498882,0GE9,Tempco Drilling Company Inc.,9,03 Jan 2021 10:30:00 PM,Wainwright,A5TT,Tamarack Acquisition Corp.,,Drill To LD,2021-01-04,18034094,18034094,51.91830747,-111.2572822,1,1,2021.0
00/11-07-041-10W5/0,PEYTO FERRIER 11-7-41-10,498511,A08C,Savanna Drilling Corp.,616,03 Jan 2021 08:15:00 PM,Red Deer,0YA2,Peyto Exploration & Development Corp.,,Drill To LD,2021-01-04,7041105,7041105,52.51582488,-115.4168706,1,1,2021.0
03/02-33-044-07W4/0,SURGE ENERGY HZ 103 WAINWR 2-33-44-7,496425,A8AF,Hertz & Paluck Energy Services Inc.,1,03 Jan 2021 02:00:00 PM,Wainwright,0YK4,Surge Energy Inc.,,Set Surface,2021-01-04,33044074,33044074,52.8360007,-110.9473444,1,1,2021.0
02/04-33-044-07W4/0,SURGE ENERGY HZ 102 WAINWR 4-33-44-7,498658,A77K,Star Valley Drilling Ltd.,102,03 Jan 2021 10:30:00 PM,Wainwright,0YK4,Surge Energy Inc.,,Drill To LD,2021-01-04,33044074,33044074,52.8360007,-110.9473444,1,1,2021.0
00/03-13-048-06W4/0,HUSKY 3HZ S1 WILDMERE 3-13-48-6,496104,0Y52,Precision Drilling Corporation,197,03 Jan 2021 11:00:00 PM,Wainwright,0R46,Husky Oil Operations Limited,,Drill To LD,2021-01-04,13048064,13048064,53.13973021,-110.7366306,1,1,2021.0
