WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long,ï»¿WELL ID
04/15-14-074-25W4/0,DELTASTREAM MARTENH 15-14-74-25,498323,A0KC,Horizon Drilling Inc.,51,05 Oct 2020 03:45:00 AM,St. Albert,A6YA,Deltastream Energy Corporation,,Resumption,2020-10-05,14074254,41,10,2020.0,14074254,55.41003099,-113.7246576,
10/01-25-077-06W4/0,MEG AG6P HARDY 1-25-77-6,498432,0Y52,Precision Drilling Corporation,140,04 Oct 2020 10:30:00 PM,Bonnyville,0Z9C,MEG Energy Corp.,,Drill To LD,2020-10-05,25077064,41,10,2020.0,25077064,55.70087579999999,-110.78213909999998,
02/13-19-035-04W4/0,KARVE 102 HZ PROVOST 13-19-35-4,498300,A8AF,Hertz & Paluck Energy Services Inc.,1,25 Sep 2020 08:30:00 AM,Wainwright,A7BT,Karve Energy Inc.,,Set Surface,2020-09-25,19035044,39,9,2020.0,19035044,52.01914293,-110.5527394,
00/02-34-065-05W6/0,PARA HZ KARR 2-34-65-5,498183,A5DR,Fox Drilling Inc.,7,24 Sep 2020 06:00:00 AM,Grande Prairie,0AW4,Paramount Resources Ltd.,,Resumption,2020-09-25,34065056,39,9,2020.0,34065056,54.66886487,-118.65495049999998,
12/05-10-066-04W4/0,IMP H92-H05 LEMING 5-10-66-4,498221,0Y55,Akita Drilling Ltd.,21,24 Sep 2020 05:00:00 PM,Bonnyville,0007,Imperial Oil Resources Limited,,Resumption,2020-09-25,10066044,39,9,2020.0,10066044,54.69702879,-110.5102354,
04/06-36-034-08W4/0,TAC 16-26 HZ 104 PROVOST 6-36-34-8,498161,0GE9,Tempco Drilling Company Inc.,5,05 Aug 2020 02:30:00 AM,Wainwright,A5TT,Tamarack Acquisition Corp.,,Drill To LD,2020-08-05,36034084,32,8,2020.0,36034084,51.96184825,-110.9973691,
02/11-05-051-21W5/0,TOURMALINE HZ 102 LAMBERT 11-5-51-21,498040,A6PR,Nabors Drilling Canada Limited,58,05 Aug 2020 03:30:00 AM,Drayton Valley,A573,Tourmaline Oil Corp.,,Drill To LD,2020-08-05,5051215,32,8,2020.0,5051215,53.37389784,-117.04792820000002,
03/16-06-054-15W5/0,VELVET 103 HZ ROSEVEAR 16-6-54-15,498155,A0KC,Horizon Drilling Inc.,50,05 Aug 2020 12:15:00 AM,Drayton Valley,A5YK,Velvet Energy Ltd.,,Drill To LD,2020-08-05,6054155,32,8,2020.0,6054155,53.63571182,-116.1882943,
00/04-18-066-05W6/0,PARA HZ KARR 4-18-66-5,495188,A5DR,Fox Drilling Inc.,3,21 May 2020 02:00:00 PM,Grande Prairie,0AW4,Paramount Resources Ltd.,,Resumption,2020-05-22,18066056,21,5,2020.0,18066056,54.71258226,-118.7304018,
12/05-10-066-04W4/0,IMP H92-H05 LEMING 5-10-66-4,498221,0Y55,Akita Drilling Ltd.,21,21 Aug 2020 12:45:00 AM,Bonnyville,7,Imperial Oil Resources Limited,,Set Surface,2020-08-21,10066044,34,8,2020.0,10066044,54.69702879,-110.5102354,
04/13-26-094-06W4/0,SUNCOR P122P5 FIREBAG 13-26-94-6,496413,A6PR,Nabors Drilling Canada Limited,102,21 Aug 2020 01:15:00 PM,Bonnyville,54,Suncor Energy Inc.,,Set Surface,2020-08-21,26094064,34,8,2020.0,26094064,57.18443579,-110.83756540000002,
09/04-35-094-06W4/0,SUNCOR P122P4 FIREBAG 4-35-94-6,496412,0X84,Nabors Drilling Limited,102,21 Aug 2020 02:00:00 AM,Bonnyville,54,Suncor Energy Inc.,,Set Surface,2020-08-21,35094064,34,8,2020.0,35094064,57.19888529,-110.8375639,
00/14-36-036-04W4/0,SURGE ENERGY HZ PROVOST 14-36-36-4,498900,A8AF,Hertz & Paluck Energy Services Inc.,1,30 Dec 2020 06:00:00 PM,Wainwright,0YK4,Surge Energy Inc.,,Set Surface,2020-12-31,36036044,53,12,2020.0,36036044,52.13565307,-110.4336541,
02/14-36-036-04W4/0,SURGE ENERGY 102 PROVOST 14-36-36-4,498901,A8AF,Hertz & Paluck Energy Services Inc.,1,30 Dec 2020 08:00:00 AM,Wainwright,0YK4,Surge Energy Inc.,,Set Surface,2020-12-31,36036044,53,12,2020.0,36036044,52.13565307,-110.4336541,
00/13-31-041-10W5/0,TQN FERRIER 13-31-41-10,498968,A0KC,Horizon Drilling Inc.,19,31 Dec 2020 01:00:00 PM,Red Deer,A2TG,TAQA North Ltd.,,Drill To LD,2020-12-31,31041105,53,12,2020.0,31041105,52.57402719,-115.416891,
02/14-22-044-14W5/0,TOURMALINE 102 HZ BRAZR 14-22-44-14,499095,0Z41,Ensign Drilling Inc.,T038,30 Dec 2020 09:30:00 PM,Drayton Valley,A573,Tourmaline Oil Corp.,,Set Surface,2020-12-31,22044145,53,12,2020.0,22044145,52.80700666,-115.9358437,
00/08-22-064-05W6/0,7GEN HZ KAKWA 8-22-64-5,498552,A6PR,Nabors Drilling Canada Limited,5,31 Dec 2020 04:27:00 AM,Grande Prairie,A54C,Seven Generations Energy Ltd.,,Drill To LD,2020-12-31,22064056,53,12,2020.0,22064056,54.55250091,-118.6549438,
00/09-34-076-06W5/0,SPL 8-33 HZ NIPISI 9-34-76-6,498531,0GE9,Tempco Drilling Company Inc.,7,31 Dec 2020 07:00:00 AM,St. Albert,A7GR,Spur Petroleum Ltd.,,Resumption,2020-12-31,34076065,53,12,2020.0,34076065,55.62845302,-114.8293771,
03/16-25-076-07W5/0,TAC 15-24 HZ 103 NIPISI 16-25-76-7,499154,A2CL,Komat Drilling Ltd.,3,31 Dec 2020 01:30:00 AM,St. Albert,A5TT,Tamarack Acquisition Corp.,,Set Surface,2020-12-31,25076075,53,12,2020.0,25076075,55.61399787,-114.9328795,
02/02-15-095-06W4/0,SUNCOR P131P3 FIREBAG 2-15-95-6,497855,A6PR,Nabors Drilling Canada Limited,102,30 Dec 2020 08:30:00 AM,Bonnyville,0054,Suncor Energy Inc.,,Set Surface,2020-12-31,15095064,53,12,2020.0,15095064,57.24275071,-110.8735294,
03/02-15-095-06W4/0,SUNCOR P131P4 FIREBAG 2-15-95-6,497856,A6PR,Nabors Drilling Canada Limited,102,31 Dec 2020 06:00:00 AM,Bonnyville,0054,Suncor Energy Inc.,,Set Surface,2020-12-31,15095064,53,12,2020.0,15095064,57.24275071,-110.8735294,
00/03-15-095-06W4/0,SUNCOR P131P5 FIREBAG 3-15-95-6,497857,A6PR,Nabors Drilling Canada Limited,102,31 Dec 2020 01:45:00 PM,Bonnyville,0054,Suncor Energy Inc.,,Set Surface,2020-12-31,15095064,53,12,2020.0,15095064,57.24275071,-110.8735294,
00/03-36-035-09W4/0,KARVE HZ PROVOST 3-36-35-9,498306,A8AF,Hertz & Paluck Energy Services Inc.,1,28 Sep 2020 01:00:00 PM,Wainwright,A7BT,Karve Energy Inc.,,Set Surface,2020-09-28,36035094,40,9,2020.0,36035094,52.04830206,-111.1479027,
02/06-36-035-09W4/0,KARVE 102 HZ PROVOST 6-36-35-9,498305,A8AF,Hertz & Paluck Energy Services Inc.,1,27 Sep 2020 02:30:00 PM,Wainwright,A7BT,Karve Energy Inc.,,Set Surface,2020-09-28,36035094,40,9,2020.0,36035094,52.04830206,-111.1479027,
00/02-05-037-07W5/0,YANGARRA HZ FERRIER 2-5-37-7,498343,A801,Stampede Drilling A Division Of Matrix Energy Technologi,5,27 Sep 2020 11:30:00 PM,Red Deer,0LN7,Yangarra Resources Corp.,,Drill To LD,2020-09-28,5037075,40,9,2020.0,5037075,52.15176497,-114.95384640000002,
